1,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,"50,251,962","50,501,858",-0.49%
2,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,"41,232,416","39,636,042",4.03%
3,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,"38,593,028","37,589,899",2.67%
4,SW,TX,DFW,Fort Worth,Dallas-Fort Worth International,P,L,"31,816,933","31,283,579",1.70%
5,NM,CO,DEN,Denver,Denver International,P,L,"29,809,091","28,267,394",5.45%
6,EA,NY,JFK,New York,John F Kennedy International,P,L,"29,533,154","29,239,151",1.01%
7,WP,CA,SFO,San Francisco International Airport,San Francisco International,P,L,"26,900,016","25,707,101",4.64%
8,WP,NV,LAS,Las Vegas,McCarran International,P,L,"23,364,185","22,833,267",2.33%
9,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,"22,639,120","21,887,110",3.44%
10,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,"22,011,225","21,511,880",2.32%
11,EA,NJ,EWR,Newark,Newark Liberty International,P,L,"21,571,194","19,923,009",8.27%
12,SO,FL,MCO,Orlando,Orlando International,P,L,"21,565,444","20,283,541",6.32%
13,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,"21,185,440","20,896,265",1.38%
14,SO,FL,MIA,Miami,Miami International,P,L,"20,709,205","20,875,813",-0.80%
15,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,"19,603,729","20,062,072",-2.28%
16,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,"18,759,689","17,759,044",5.63%
17,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,"18,409,669","18,123,844",1.58%
18,GL,MI,DTW,Detroit,Detroit Metropolitan Wayne County,P,L,"17,036,090","16,847,135",1.12%
19,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,"15,816,989","14,263,270",10.89%
20,EA,NY,LGA,New York,Laguardia,P,L,"14,606,745","14,762,593",-1.06%
21,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,"14,271,232","14,564,419",-2.01%
22,EA,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshall,P,L,"12,976,516","12,340,972",5.15%
23,NM,UT,SLC,Salt Lake City,Salt Lake City International,P,L,"11,615,893","11,143,738",4.24%
24,EA,VA,DCA,Arlington,Ronald Reagan Washington National,P,L,"11,506,310","11,470,854",0.31%
25,WP,CA,SAN,San Diego,San Diego International,P,L,"11,139,877","10,340,164",7.73%
26,EA,VA,IAD,Dulles,Washington Dulles International,P,L,"11,024,243","10,596,942",4.03%
27,GL,IL,MDW,Chicago,Chicago Midway International,P,L,"10,911,970","11,044,387",-1.20%
28,WP,HI,HNL,Honolulu,Daniel K Inouye International,P,L,"9,743,989","9,656,340",0.91%
29,SO,FL,TPA,Tampa,Tampa International,P,L,"9,548,541","9,194,994",3.84%
30,NM,OR,PDX,Portland,Portland International,P,L,"9,435,435","9,071,154",4.02%
31,SW,TX,DAL,Dallas,Dallas Love Field,P,M,"7,593,310","7,554,596",0.51%
32,CE,MO,STL,St. Louis,St Louis Lambert International,P,M,"7,194,706","6,793,076",5.91%
33,SO,TN,BNA,Nashville,Nashville International,P,M,"6,902,751","6,338,517",8.90%
34,SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,"6,813,141","6,095,545",11.77%
35,SW,TX,HOU,Houston,William P Hobby,P,M,"6,538,820","6,285,181",4.04%
36,WP,CA,OAK,Oakland,Metropolitan Oakland International,P,M,"6,413,814","5,934,639",8.07%
37,WP,CA,SJC,San Jose,Norman Y Mineta San Jose International,P,M,"6,130,812","5,321,603",15.21%
38,SW,LA,MSY,Metairie,Louis Armstrong New Orleans International,P,M,"6,022,300","5,569,705",8.13%
39,SO,NC,RDU,Raleigh,Raleigh-Durham International,P,M,"5,692,641","5,401,714",5.39%
40,CE,MO,MCI,Kansas City,Kansas City International,P,M,"5,628,573","5,391,557",4.40%
41,WP,CA,SMF,Sacramento,Sacramento International,P,M,"5,341,595","4,969,366",7.49%
42,WP,CA,SNA,Santa Ana,John Wayne Airport-Orange County,P,M,"5,082,669","5,217,242",-2.58%
43,GL,OH,CLE,Cleveland,Cleveland-Hopkins International,P,M,"4,446,526","4,083,476",8.89%
44,SW,TX,SAT,San Antonio,San Antonio International,P,M,"4,382,090","4,179,994",4.83%
45,SO,FL,RSW,Fort Myers,Southwest Florida International,P,M,"4,364,217","4,239,261",2.95%
46,GL,IN,IND,Indianapolis,Indianapolis International,P,M,"4,343,712","4,216,766",3.01%
47,EA,PA,PIT,Pittsburgh,Pittsburgh International,P,M,"4,327,431","3,986,114",8.56%
48,SO,PR,SJU,San Juan,Luis Munoz Marin International,P,M,"4,163,587","4,343,354",-4.14%
49,SO,KY,CVG,Greater Cincinnati International Airport,Cincinnati/Northern Kentucky International,P,M,"3,791,987","3,269,979",15.96%
50,GL,OH,CMH,Columbus,John Glenn Columbus International,P,M,"3,677,523","3,567,864",3.07%
51,WP,HI,OGG,Kahului,Kahului,P,M,"3,442,189","3,352,813",2.67%
52,GL,WI,MKE,Milwaukee,General Mitchell International,P,M,"3,414,458","3,327,536",2.61%
53,NE,CT,BDL,Windsor Locks,Bradley International,P,M,"3,164,629","2,982,194",6.12%
54,SO,FL,PBI,West Palm Beach,Palm Beach International,P,M,"3,110,399","3,100,624",0.32%
55,SO,FL,JAX,Jacksonville,Jacksonville International,P,M,"2,701,855","2,729,129",-1.00%
56,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,"2,556,188","2,563,524",-0.29%
57,SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,"2,412,293","2,341,719",3.01%
58,WP,CA,BUR,Burbank,Bob Hope,P,M,"2,402,100","2,077,892",15.60%
59,EA,NY,BUF,Buffalo,Buffalo Niagara International,P,M,"2,348,463","2,313,724",1.50%
60,WP,CA,ONT,Ontario,Ontario International,P,M,"2,247,628","2,104,625",6.79%
61,CE,NE,OMA,Omaha,Eppley Airfield,P,M,"2,243,623","2,127,387",5.46%
62,SO,TN,MEM,Memphis,Memphis International,P,S,"2,102,728","2,016,089",4.30%
63,WP,NV,RNO,Reno,Reno/Tahoe International,P,S,"1,952,977","1,771,864",10.22%
64,SO,SC,CHS,Charleston,Charleston AFB/International,P,S,"1,945,689","1,811,695",7.40%
65,NE,RI,PVD,Warwick,Theodore Francis Green State,P,S,"1,940,791","1,803,000",7.64%
66,SW,OK,OKC,Oklahoma City,Will Rogers World,P,S,"1,894,277","1,796,473",5.44%
67,WP,CA,LGB,Long Beach,Long Beach /Daugherty Field/,P,S,"1,830,727","1,386,357",32.05%
68,EA,VA,RIC,Highland Springs,Richmond International,P,S,"1,822,483","1,777,648",2.52%
69,NM,ID,BOI,Boise,Boise Air Terminal/Gowen Field,P,S,"1,777,634","1,633,507",8.82%
70,WP,HI,KOA,Kailua Kona,Ellison Onizuka Kona International at Keahole,P,S,"1,764,995","1,569,602",12.45%
71,NM,WA,GEG,Spokane,Spokane International,P,S,"1,698,420","1,570,652",8.13%
72,EA,VA,ORF,Norfolk,Norfolk International,P,S,"1,694,322","1,602,631",5.72%
73,SO,KY,SDF,Louisville,Louisville International-Standiford Field,P,S,"1,684,728","1,631,494",3.26%
74,WP,AZ,TUS,Tucson,Tucson International,P,S,"1,669,818","1,594,594",4.72%
